,time_seconds,activity,attention,relaxation
0,0.0,5.96046483281043e-08,50.00000581060027,50.00000101660485
1,0.004,5.96046483281043e-08,50.00000581060027,50.00000101660485
2,0.008,5.96046483281043e-08,50.00000581060027,50.00000101660485
3,0.012,5.96046483281043e-08,50.00000581060027,50.00000101660485
4,0.016,5.96046483281043e-08,50.00000581060027,50.00000101660485
5,0.02,5.96046483281043e-08,50.00000581060027,50.00000101660485
6,0.024,5.96046483281043e-08,50.00000581060027,50.00000101660485
7,0.028,5.96046483281043e-08,50.00000581060027,50.00000101660485
8,0.032,5.96046483281043e-08,50.00000581060027,50.00000101660485
9,0.036,5.96046483281043e-08,50.00000581060027,50.00000101660485
10,0.04,5.96046483281043e-08,50.00000581060027,50.00000101660485
11,0.044,5.96046483281043e-08,50.00000581060027,50.00000101660485
12,0.048,5.96046483281043e-08,50.00000581060027,50.00000101660485
13,0.052,5.96046483281043e-08,50.00000581060027,50.00000101660485
14,0.056,5.96046483281043e-08,50.00000581060027,50.00000101660485
15,0.06,5.96046483281043e-08,50.00000581060027,50.00000101660485
16,0.064,5.96046483281043e-08,50.00000581060027,50.00000101660485
17,0.068,5.96046483281043e-08,50.00000581060027,50.00000101660485
18,0.072,5.96046483281043e-08,50.00000581060027,50.00000101660485
19,0.076,5.96046483281043e-08,50.00000581060027,50.00000101660485
20,0.08,5.96046483281043e-08,50.00000581060027,50.00000101660485
21,0.084,5.96046483281043e-08,50.00000581060027,50.00000101660485
22,0.088,5.96046483281043e-08,50.00000581060027,50.00000101660485
23,0.092,5.96046483281043e-08,50.00000581060027,50.00000101660485
24,0.096,5.96046483281043e-08,50.00000581060027,50.00000101660485
25,0.1,5.96046483281043e-08,50.00000581060027,50.00000101660485
26,0.104,5.96046483281043e-08,50.00000581060027,50.00000101660485
27,0.108,5.96046483281043e-08,50.00000581060027,50.00000101660485
28,0.112,5.96046483281043e-08,50.00000581060027,50.00000101660485
29,0.116,5.96046483281043e-08,50.00000581060027,50.00000101660485
30,0.12,5.96046483281043e-08,50.00000581060027,50.00000101660485
31,0.124,5.96046483281043e-08,50.00000581060027,50.00000101660485
32,0.128,5.96046483281043e-08,50.00000581060027,50.00000101660485
33,0.132,5.96046483281043e-08,50.00000581060027,50.00000101660485
34,0.136,5.96046483281043e-08,50.00000581060027,50.00000101660485
