phase,activity,attention,relaxation
baseline,5.96046483281043e-08,65.03057106119697,43.97240397510838
exercise,5.96046483281043e-08,53.931311118713566,68.60699237281518
free_walk,5.96046483281043e-08,69.9701018962021,46.025175559421555
recovery,5.96046483281043e-08,25.295779090074493,96.97656942321984
