,phase,phase_description,metric,mean,std,min,max,median
0,baseline,Спокойное состояние,activity,5.96046483281043e-08,0.0,5.96046483281043e-08,5.96046483281043e-08,5.96046483281043e-08
1,baseline,Спокойное состояние,attention,65.03057106119697,17.002853034011032,50.00000581060027,100.0,50.00000581060027
2,baseline,Спокойное состояние,relaxation,43.97240397510838,6.807541891720862,27.479179726391425,50.00000101660485,50.00000101660485
3,free_walk,Свободная прогулка,activity,5.96046483281043e-08,0.0,5.96046483281043e-08,5.96046483281043e-08,5.96046483281043e-08
4,free_walk,Свободная прогулка,attention,69.9701018962021,21.234640571478476,37.264240746337464,99.99997666096883,75.49958945460436
5,free_walk,Свободная прогулка,relaxation,46.025175559421555,20.20637448331523,7.7441667415335615,76.23696998779704,49.36049978179943
6,exercise,Упражнение,activity,5.96046483281043e-08,0.0,5.96046483281043e-08,5.96046483281043e-08,5.96046483281043e-08
7,exercise,Упражнение,attention,53.931311118713566,15.056969861032766,35.89763544510314,74.92851253541664,49.98968412406088
8,exercise,Упражнение,relaxation,68.60699237281518,21.485880827088778,38.467895565920216,99.72533121862492,73.0783370973744
9,recovery,Восстановление,activity,5.96046483281043e-08,0.0,5.96046483281043e-08,5.96046483281043e-08,5.96046483281043e-08
10,recovery,Восстановление,attention,25.295779090074493,11.635192884584812,6.642352407873062,42.05674159119199,24.568245391205515
11,recovery,Восстановление,relaxation,96.97656942321984,2.377821053778219,92.34972823994295,99.99975000000002,96.50433147935354
